United Arab Emirates,Middle east,Global South
Afghanistan,Asia & Pacific,Global South
Antigua and Barbuda,South/Latin America,Global South
Anguilla,South/Latin America,Global South
Armenia,Europe,Global South
Netherlands Antilles,South/Latin America,Global South
Angola,Africa,Global South
Antarctica,Asia & Pacific,Global South
Argentina,South/Latin America,Global South
American Samoa,Asia & Pacific,Global South
Aruba,South/Latin America,Global South
Azerbaijan,Asia & Pacific,Global South
Barbados,South/Latin America,Global South
Bangladesh,Asia & Pacific,Global South
Burkina Faso,Africa,Global South
Bahrain,Arab States,Global South
Burundi,Africa,Global South
Benin,Africa,Global South
Brunei,Asia & Pacific,Global South
Bolivia,South/Latin America,Global South
Brazil,South/Latin America,Global South
The Bahamas,South/Latin America,Global South
Bhutan,Asia & Pacific,Global South
Bouvet Island,South/Latin America,Global South
Botswana,Africa,Global South
Belarus,Europe,Global South
Belize,South/Latin America,Global South
Cocos (Keeling) Islands,Asia & Pacific,Global South
Congo,Africa,Global South
Central African Republic,Africa,Global South
Democratic Republic of the Congo,Africa,Global South
Côte d'Ivoire,Africa,Global South
Cook Islands,Asia & Pacific,Global South
Chile,South/Latin America,Global South
Cameroon,Africa,Global South
China,Asia & Pacific,Global South
Colombia,South/Latin America,Global South
Costa Rica,South/Latin America,Global South
Cuba,South/Latin America,Global South
Cabo Verde,Africa,Global South
Christmas Island,Asia & Pacific,Global South
Djibouti,Arab States,Global South
Dominica,South/Latin America,Global South
Dominican Republic,South/Latin America,Global South
Algeria,Arab States,Global South
Ecuador,South/Latin America,Global South
Egypt,Middle east,Global South
Western Sahara,Africa,Global South
Eritrea,Africa,Global South
Ethiopia,Africa,Global South
Fiji,Asia & Pacific,Global South
Falkland Islands (the) [Malvinas],South/Latin America,Global South
Micronesia (Federated States of),Asia & Pacific,Global South
Gabon,Africa,Global South
Grenada,South/Latin America,Global South
Georgia,Europe,Global South
French Guiana,South/Latin America,Global South
Ghana,Africa,Global South
Gambia,Africa,Global South
Guinea,Africa,Global South
Guadeloupe,South/Latin America,Global South
Equatorial Guinea,Africa,Global South
South Georgia and the South Sandwich Islands,South/Latin America,Global South
Guatemala,South/Latin America,Global South
Guam,Asia & Pacific,Global South
Guinea-Bissau,Africa,Global South
Guyana,South/Latin America,Global South
Heard Island and McDonald Islands,Asia & Pacific,Global South
Honduras,South/Latin America,Global South
Haiti,South/Latin America,Global South
Indonesia,Asia & Pacific,Global South
India,Asia & Pacific,Global South
British Indian Ocean Territory,Asia & Pacific,Global South
Iraq,Middle east,Global South
Iran,Middle east,Global South
Jamaica,South/Latin America,Global South
Jordan,Middle east,Global South
Kenya,Africa,Global South
Kyrgyzstan,Asia & Pacific,Global South
Cambodia,Asia & Pacific,Global South
Kiribati,Asia & Pacific,Global South
Comoros,Arab States,Global South
Saint Kitts and Nevis,South/Latin America,Global South
North Korea,Asia & Pacific,Global South
Kuwait,Middle east,Global South
Cayman Islands,South/Latin America,Global South
Kazakhstan,Asia & Pacific,Global South
Lao People's Democratic Republic,Asia & Pacific,Global South
Lebanon,Middle east,Global South
Saint Lucia,South/Latin America,Global South
Sri Lanka,Asia & Pacific,Global South
Liberia,Africa,Global South
Lesotho,Africa,Global South
Libya,Middle east,Global South
Morocco,Arab States,Global South
Madagascar,Africa,Global South
Marshall Islands,Asia & Pacific,Global South
Mali,Africa,Global South
Myanmar,Asia & Pacific,Global South
Mongolia,Asia & Pacific,Global South
Northern Mariana Islands,Asia & Pacific,Global South
Martinique,South/Latin America,Global South
Mauritania,Arab States,Global South
Montserrat,South/Latin America,Global South
Mauritius,Africa,Global South
Maldives,Asia & Pacific,Global South
Malawi,Africa,Global South
Mexico,South/Latin America,Global South
Malaysia,Asia & Pacific,Global South
Mozambique,Africa,Global South
Namibia,Africa,Global South
New Caledonia,Asia & Pacific,Global South
Niger,Africa,Global South
Norfolk Island,Asia & Pacific,Global South
Nigeria,Africa,Global South
Nicaragua,South/Latin America,Global South
Nepal,Asia & Pacific,Global South
Nauru,Asia & Pacific,Global South
Niue,Asia & Pacific,Global South
Oman,Middle east,Global South
Panama,South/Latin America,Global South
Peru,South/Latin America,Global South
French Polynesia,Asia & Pacific,Global South
Papua New Guinea,Asia & Pacific,Global South
Philippines,Asia & Pacific,Global South
Pakistan,Asia & Pacific,Global South
Pitcairn Islands,Asia & Pacific,Global South
Puerto Rico,South/Latin America,Global South
State of Palestine,Arab States,Global South
Palau,Asia & Pacific,Global South
Paraguay,South/Latin America,Global South
Qatar,Middle east,Global South
Reunion,Asia & Pacific,Global South
Rwanda,Africa,Global South
Saudi Arabia,Middle east,Global South
Solomon Islands,Asia & Pacific,Global South
Seychelles,Africa,Global South
South Sudan,Africa,Global South
Sudan,Arab States,Global South
Saint Helena,Africa,Global South
Sierra Leone,Africa,Global South
Senegal,Africa,Global South
Somalia,Arab States,Global South
Suriname,South/Latin America,Global South
Sao Tome and Principe,Africa,Global South
El Salvador,South/Latin America,Global South
Syria,Asia & Pacific,Global South
Swaziland,Africa,Global South
Turks and Caicos Islands,South/Latin America,Global South
Chad,Africa,Global South
French Southern Territories,Asia & Pacific,Global South
Togo,Africa,Global South
Thailand,Asia & Pacific,Global South
Tajikistan,Asia & Pacific,Global South
Tokelau,Asia & Pacific,Global South
Turkmenistan,Asia & Pacific,Global South
Tunisia,Arab States,Global South
Tonga,Asia & Pacific,Global South
Timor-Leste,Asia & Pacific,Global South
Trinidad and Tobago,South/Latin America,Global South
Tuvalu,Asia & Pacific,Global South
Tanzania,Africa,Global South
Ukraine,Europe,Global South
Uganda,Africa,Global South
United States Minor Outlying Islands,Asia & Pacific,Global South
Uruguay,South/Latin America,Global South
Uzbekistan,Asia & Pacific,Global South
Saint Vincent and the Grenadines,South/Latin America,Global South
Venezuela,South/Latin America,Global South
Virgin Islands (British),South/Latin America,Global South
Virgin Islands (U.S.),South/Latin America,Global South
Vietnam,Asia & Pacific,Global South
Vanuatu,Asia & Pacific,Global South
Wallis and Futuna,Asia & Pacific,Global South
Samoa,Asia & Pacific,Global South
Yemen,Middle east,Global South
Mayotte,Africa,Global South
South Africa,Africa,Global South
Zambia,Africa,Global South
Zimbabwe,Africa,Global South
Saint Barthélemy,South/Latin America,Global South
Saint Martin (French part),South/Latin America,Global South
Andorra,Europe,Global North
Albania,Europe,Global North
Austria,Europe,Global North
Australia,Asia & Pacific,Global North
Bosnia and Herzegovina,Europe,Global North
Belgium,Europe,Global North
Bulgaria,Europe,Global North
Bermuda,North America,Global North
Canada,North America,Global North
Switzerland,Europe,Global North
Cyprus,Europe,Global North
Czechia,Europe,Global North
Germany,Europe,Global North
Denmark,Europe,Global North
Estonia,Europe,Global North
Spain,Europe,Global North
Finland,Europe,Global North
Faroe Islands,Europe,Global North
France,Europe,Global North
France Metropolitan,Europe,Global North
United Kingdom,Europe,Global North
Gibraltar,Europe,Global North
Greenland,Europe,Global North
Greece,Europe,Global North
Hong Kong,Asia & Pacific,Global North
Croatia,Europe,Global North
Hungary,Europe,Global North
Ireland,Europe,Global North
Israel,Europe,Global North
Iceland,Europe,Global North
Italy,Europe,Global North
Japan,Asia & Pacific,Global North
South Korea,Asia & Pacific,Global North
Liechtenstein,Europe,Global North
Lithuania,Europe,Global North
Luxembourg,Europe,Global North
Latvia,Europe,Global North
Monaco,Europe,Global North
Moldova,Europe,Global North
North Macedonia,Europe,Global North
Macao,Asia & Pacific,Global North
Malta,Europe,Global North
Netherlands,Europe,Global North
Norway,Europe,Global North
New Zealand,Asia & Pacific,Global North
Poland,Europe,Global North
Saint Pierre and Miquelon,North America,Global North
Portugal,Europe,Global North
Romania,Europe,Global North
Russia,Europe,Global North
Sweden,Europe,Global North
Singapore,Asia & Pacific,Global North
Slovenia,Europe,Global North
Svalbard,Europe,Global North
Slovakia,Europe,Global North
San Marino,Europe,Global North
Turkey,Europe,Global North
Taiwan,Asia & Pacific,Global North
United States,North America,Global North
Holy See,Europe,Global North
Serbia,Europe,Global North
Montenegro,Europe,Global North
Aland Islands,Europe,Global North
Guernsey,Europe,Global North
Isle of Man,Europe,Global North
Jersey,Europe,Global North
